node,neighbors
21717946,"21718291,21717939,21717941"
21717953,21704339
21717954,"21717953,21704340"
21717956,"21704340,21717954"
21718264,21704337
21718288,"2490241911,21717931,143403"
21718291,"21717946,8148996574"
21718297,"21718291,21717942"
21729400,"21704348,21717928,21717927"
21729405,21717956
21789166,1148982723
21850766,"21852320,21852326"
21851032,"21852322,143435"
21852320,9214909
21852322,"21850766,143412"
21852326,143413
21855792,"21851032,143412"
21992644,"21992645,2786991022"
21992645,21992646
21992646,"3727734175,269229442"
21992709,"1298421634,21992798"
21992712,"2786991022,384959104"
21992798,"2786991023,2294100851"
21992835,21993015
21992836,"21992835,565368324"
21992964,"25321357,25335974"
21992980,"21993013,6359515623"
21992981,21595834
21992995,21992996
21992996,"21993015,474605986"
21993013,"21992980,565368324,21992995"
21993015,"195276,271415805"
21993017,"21992995,21992980"
22145874,"26336918,34967269,26336921"
22146035,"22147748,22156869"
22147748,303502397
22156849,"1555825790,6943216125"
22156869,"24289158,1352581162"
22158975,"9249817,6943216130"
22209228,22218349
22216548,"23669387,22209228"
22218349,"22218377,33183165"
22218377,22218444
22218444,"25722223,22218474"
22218474,22218513
22218513,22218540
22218540,"25722224,22470837"
22470837,22470880
22470880,"22470962,23666882"
22470962,"4528925726,23666834"
23666815,"23667222,23666905"
23666834,"23666815,23666882"
23666882,"23666905,22470880,23666931"
23666905,"23666923,23666882"
23666923,"33183236,23666931"
23666931,"23666981,22470837"
23666981,"33183236,23667013"
23667013,"33250399,11071527613,23667053"
23667053,"23667059,33183161"
23667059,"23667053,23667112,33250396"
23667112,23667339
23667198,"23667059,23667112"
23667222,"23843291,25722226"
23667285,"23666923,23667222"
23667335,"24485668,23667198,25722225"
23667339,23667335
23669146,23758496
23669320,"23669146,35516374"
23669387,"23669474,23669320"
23669474,"23669146,838347919"
23758496,35516374
23842995,24809664
23843288,"23667285,24485668"
23843291,"25149521,23843288,23667222"
24009837,"8496944255,195251"
24009841,"25337460,24009837"
24289061,"33116036,8593279"
24289066,"8592437,6943172533,486022481"
24289146,"6943172520,6943172513"
24289158,"22158975,1352581162"
24484855,"838347915,22209228"
24484923,24484855
24484925,"24484932,24484923"
24484928,"33250398,25722218"
24484932,24484928
24484937,"23667339,24484932"
24484941,24484925
24485668,"24485956,24485740,23667335"
24485740,"24485746,24485754"
24485746,"23843288,25149521"
24485749,"3101723978,24485746"
24485754,3101723983
24485759,24485754
24485763,"5706947070,24485740"
24485888,"958117915,24485922"
24485922,"24485956,24485763"
24485956,"24809643,24484937"
24526417,"16564347,25312121"
24644347,"1384310580,24644383"
24644383,24644347
24809643,"24484941,24809664"
24809664,"24809679,838347881,23842995"
24809679,"1037257437,918297329,1037257439"
24809692,"24809643,1037257439,24485922"
24810638,"1468553178,7470130"
25115153,11428571608
25115178,"33122297,25115153"
25115182,"25115178,262860754"
25149511,"775581408,775581409,25149523"
25149512,"33256991,356637756"
25149513,"25149514,25149512"
25149514,25149511
25149521,"25149522,25149514"
25149522,"25149513,26575622"
25149523,23843291
25152142,"25152444,25152442"
25152442,"21712144,15925440"
25152444,26576955
25152584,25152613
25152613,25152442
25152615,"25152680,25152618"
25152616,"25152679,3824873194"
25152618,"3824873200,25152621"
25152621,"3824873174,25152845"
25152679,"18697397,2600858761"
25152680,"25152679,5823705988"
25152845,195244
25152846,"25152849,11591631528"
25152849,25152928
25152928,"1035871834,412284481"
25153048,"18697420,796918086"
25153067,"18697385,1035871834"
25153069,"25153101,1035871899"
25153070,"25153069,195239"
25153071,"25153070,25153072"
25153072,"25153094,25153075"
25153074,"11509487125,26059198"
25153075,25153103
25153076,"25153048,25153069,25153067"
25153094,"25153076,25153070"
25153100,"581678,25153071"
25153101,"195239,3846297548"
25153102,"1475230727,25337450"
25153103,"1475230727,25337456,25337448"
25153108,"1035871899,25153101"
25173749,"25173760,25173835"
25173760,25152584
25173820,25173835
25173835,"21712144,2628204930,479185290"
25173843,"34402214,25173749"
25174163,"2451394927,18697415,25173749"
25175743,11956024523
25175764,"26086303,25175794"
25175778,25175764
25175791,"2117622731,25175778"
25175794,"25175791,25175798"
25175798,"26079789,25175743"
25175805,"26033235,25175794"
25175819,"26576963,2117622731,12766824120"
25248947,"33254622,1126334642"
25258518,25258528
25258519,"25258518,1036842321"
25258521,"25258523,1036842321"
25258523,25258518
25258524,"25258523,25258527"
25258525,"25258521,975656240"
25258527,"7262708541,25258518,25258529"
25258528,"25258539,2663770362"
25258529,"7262708550,25306036"
25258530,"25258529,25258545"
25258534,25258519
25258535,"25258528,25258534"
25258539,"25258542,25306175"
25258542,25306176
25258545,"25258542,1489507797"
25258720,"25258721,25258732"
25258721,"25258729,25258722"
25258722,25306183
25258724,"25306180,25258725"
25258725,"25258726,25258755"
25258726,25258728
25258728,"25258729,25258722"
25258729,"25258750,25258732"
25258732,"25258734,25258749"
25258734,"25258743,25258737"
25258737,"26033313,5298945584"
25258741,"25258743,25258737"
25258743,"25258749,25258534"
25258749,"25258750,25258535"
25258750,"25258751,25306175"
25258751,25258728
25258753,"25258755,25258726"
25258755,"25258757,25306178"
25258757,"25306162,25258758"
25258758,"25258753,25306176"
25258759,"25258734,25258720"
25303795,"226202090,25303799"
25303796,"8168819577,25303799"
25303799,26570167
25303800,"25303833,25303801,25321469"
25303801,25303796
25303803,25303804
25303804,"25303805,624172864"
25303805,2480201967
25303806,"25303807,25303805"
25303807,325213179
25303831,"25336247,25321456,25303832,25321689"
25303832,25303833
25303833,2365376415
25303836,"1383027249,2865054509,2365376415"
25303840,"25321687,251050719"
25303841,"26317293,25321689,25303840"
25305955,"25305960,18697400"
25305960,1475230723
25306024,"1291379525,1036842184"
25306030,"15925446,1987812136"
25306034,"975232215,25306035"
25306035,"34401983,25258525"
25306036,"25306035,15925447"
25306159,"320914981,25258757"
25306160,"25306159,26057043"
25306161,"26079691,26079697"
25306162,"25306163,25306160"
25306163,"1465125837,25306161"
25306164,"26059302,3066729207"
25306175,25258535
25306176,"25258751,25306175"
25306178,"21604549,9681597415"
25306180,"25306181,26053253"
25306181,"8831923521,25306182"
25306182,"25306183,25258724"
25306183,"26027222,25306184"
25306184,"25258721,25306185"
25306185,"25258720,25306186"
25306186,"25258759,26033460,612426770"
25310822,"25327119,25310823"
25310823,25310824
25310824,"25327124,25310825"
25310825,"25310822,2814044874"
25310826,"25327124,25310825"
25310829,"25327125,7012463945"
25310830,25495345
25310831,"25498570,4576330333"
25310832,"25310829,25310831"
25310854,"25310857,25310879"
25310855,"25310860,25310854"
25310856,"25310855,25310824"
25310857,"2814082596,5732208557"
25310858,"25310854,25310860"
25310859,"25310861,25310858"
25310860,"25310861,25327122"
25310861,"25327121,26022619"
25310862,"25310879,25310858"
25310863,25310862
25310864,"25310867,25310863"
25310866,"8363909975,25310873"
25310867,"25310866,13176425186"
25310868,"9985511560,25310867,25310863"
25310869,"25310862,25310864"
25310870,"25310877,25310869"
25310871,"25310870,25310872"
25310872,"8363909975,25310873"
25310873,"26035015,270733389"
25310874,"25310871,25310875"
25310875,"25310891,25327153"
25310876,"25310875,25310871"
25310877,"25310876,25310882"
25310878,"25310877,25310869"
25310879,"25310878,25310880"
25310880,"25327127,25310857"
25310881,"25310880,25310878"
25310882,"25310881,1381860430"
25310885,"25310882,25310886"
25310886,"25327153,25310876"
25310887,"1381860429,25327147"
25310888,"25316384,25310887"
25310889,"1381860431,25310888"
25310890,"25310896,1954994779,25310893"
25310891,"25310890,25310900"
25310893,"1954994781,25310909"
25310894,"26035106,25310896"
25310895,"25310894,11690126531"
25310896,"1682324863,2450713202"
25310897,"2450713228,25310898"
25310898,"25310905,25310899"
25310899,"25310900,25310890"
25310900,"1381860427,25310903"
25310901,"25310885,25310902"
25310902,"25327152,1381860428"
25310903,"1381860426,1381860425"
25310904,"25310903,25310899"
25310905,"34385832,25310904"
25310907,"25310894,25310908"
25310908,"25932612,6101119291"
25310909,2072612784
25310910,"2319500305,25310909"
25310911,"25310874,25310872"
25310913,"25310910,26035104"
25310931,"25310932,25310933"
25310932,"21604550,21674804"
25310933,"25319258,25319257"
25312121,33257060
25312123,"25312128,25312138,16564357"
25312126,"25312127,3834391683,35678578,8788252009"
25312127,"8788241046,25312134"
25312128,"35678579,25312135"
25312129,"25312128,24526417,16564357,35678578"
25312133,"35678668,8788329523,712926919"
25312134,"8788241048,25312133"
25312135,"25312136,35678580"
25312136,"25312144,25312137,35678668"
25312137,"712909224,25312138,25312136"
25312138,"25312135,25312137,25312123"
25312144,"35678468,712909224"
25312373,"190131566,2916105775"
25312477,"2084363829,190131566"
25316171,"25498540,25316172"
25316172,"25316184,25316173"
25316173,"25498567,25316174"
25316174,"25498568,25316175"
25316175,"25495336,25310830"
25316176,"25498569,25310831"
25316177,"25316176,25316199"
25316178,"25316179,25316189"
25316179,"25498566,21674807"
25316180,"25498539,25316178"
25316181,"25316182,25316171,25316196"
25316182,"26052732,6990640909"
25316184,"4894298864,25495339"
25316185,"25316173,25316184"
25316186,"25316174,25316185"
25316187,"25316197,25316188"
25316188,"25316189,25316179"
25316189,"25316190,1042749309"
25316190,25316180
25316191,"25316190,25316192"
25316192,25316258
25316193,"25316192,25316180"
25316194,"25498538,25316195"
25316195,25316181
25316196,25316194
25316197,"25316199,21674808"
25316199,1694707162
25316247,"1042749613,21674809"
25316249,"25316251,25316247"
25316250,"25316254,25316249"
25316251,"25316252,25316262"
25316252,"25316250,21674895"
25316254,"25316260,16050062"
25316255,"25316249,25316254"
25316256,1042749170
25316257,"25316192,25316256"
25316258,"4844794552,25316259,9680578368"
25316259,"25316257,1042749277"
25316260,"25316256,1042749273"
25316261,"1694707162,21674808"
25316262,25316261
25316263,"25316262,25316252"
25316365,"25310889,1297040318"
25316384,"25316365,21674800"
25316395,"1606993797,695208116"
25316399,"25316410,25316436"
25316410,"25316417,25327131"
25316417,"25316384,34385822"
